timestamp,site_id,flow_total,motos,buses,camiones,velocidad_prom,tiempo_recorrido,cola,incidente,lluvia,tipo_via,carriles,zona,hora_pico,feriado,congestion
2026-04-14 00:00:00,BOYACA_GYE_A1,29,8,2,1,50.15,90,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 00:15:00,BOYACA_GYE_A1,27,8,2,1,50.37,89,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 00:30:00,BOYACA_GYE_A1,27,7,2,1,50.79,87,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 00:45:00,BOYACA_GYE_A1,30,8,1,1,49.19,94,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 01:00:00,BOYACA_GYE_A1,27,8,1,1,51.67,83,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 01:15:00,BOYACA_GYE_A1,28,8,2,1,50.88,87,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 01:30:00,BOYACA_GYE_A1,27,7,2,1,50.82,87,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 01:45:00,BOYACA_GYE_A1,23,6,1,1,50.72,87,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 02:00:00,BOYACA_GYE_A1,23,6,1,1,42.86,166,8,1,0,arterial,3,comercial,0,0,1
2026-04-14 02:15:00,BOYACA_GYE_A1,29,8,1,1,49.46,92,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 02:30:00,BOYACA_GYE_A1,29,9,2,1,50.44,88,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 02:45:00,BOYACA_GYE_A1,30,8,2,1,50.48,88,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 03:00:00,BOYACA_GYE_A1,30,8,2,1,50.00,90,0,0,0,arterial,3,comercial,0,0,0
2026-04-14 03:15:00,BOYACA_GYE_A1,29,7,2,1,50.74,87,0,0,0,arterial,3,comercial,0,0,0
