timestamp,site_id,flow_total,motos,buses,camiones,velocidad_prom,tiempo_recorrido,cola,incidente,lluvia,tipo_via,carriles,zona,hora_pico,feriado,congestion
2026-01-01 06:00:00,Boyaca,45,12,2,1,38.5,90,3,0,0,arterial,3,comercial,0,0,0
2026-01-01 06:15:00,Boyaca,52,15,2,1,36.2,95,4,0,0,arterial,3,comercial,0,0,0
2026-01-01 06:30:00,Boyaca,60,18,3,2,34.8,105,5,0,0,arterial,3,comercial,0,0,0
2026-01-01 06:45:00,Boyaca,75,22,3,3,30.5,120,7,0,0,arterial,3,comercial,1,0,1
2026-01-01 07:00:00,Boyaca,95,30,4,4,25.2,150,10,0,0,arterial,3,comercial,1,0,1
2026-01-01 07:15:00,Boyaca,120,40,6,5,20.1,180,15,0,0,arterial,3,comercial,1,0,2
2026-01-01 07:30:00,Boyaca,135,45,7,6,18.5,210,18,0,0,arterial,3,comercial,1,0,2
2026-01-01 07:45:00,Boyaca,150,50,8,7,16.2,240,22,1,0,arterial,3,comercial,1,0,2
2026-01-01 08:00:00,Boyaca,140,48,7,6,17.5,220,20,0,0,arterial,3,comercial,1,0,2
2026-01-01 08:15:00,Boyaca,130,45,6,5,19.2,200,17,0,0,arterial,3,comercial,1,0,2
2026-01-01 08:30:00,Boyaca,110,38,5,4,22.5,170,12,0,0,arterial,3,comercial,1,0,1
2026-01-01 08:45:00,Boyaca,90,30,4,3,26.8,140,9,0,0,arterial,3,comercial,0,0,1
2026-01-01 09:00:00,Boyaca,75,25,3,2,30.2,120,7,0,0,arterial,3,comercial,0,0,1
2026-01-01 09:15:00,Boyaca,70,22,3,2,32.0,110,6,0,0,arterial,3,comercial,0,0,0
2026-01-01 09:30:00,Boyaca,65,20,2,2,34.5,105,5,0,1,arterial,3,comercial,0,0,0
2026-01-01 09:45:00,Boyaca,68,21,2,2,33.0,108,5,0,1,arterial,3,comercial,0,0,0
2026-01-01 10:00:00,Boyaca,72,22,2,2,32.5,110,6,0,0,arterial,3,comercial,0,0,0
2026-01-01 10:15:00,Boyaca,80,25,3,2,30.0,120,7,0,0,arterial,3,comercial,0,0,1
2026-01-01 10:30:00,Boyaca,95,28,4,3,27.5,135,9,0,0,arterial,3,comercial,0,0,1
2026-01-01 10:45:00,Boyaca,110,32,5,4,24.0,160,11,0,0,arterial,3,comercial,0,0,1
2026-01-01 11:00:00,Boyaca,125,38,6,5,21.5,185,14,0,0,arterial,3,comercial,1,0,2
2026-01-01 11:15:00,Boyaca,140,42,7,6,19.0,210,18,1,0,arterial,3,comercial,1,0,2
2026-01-01 11:30:00,Boyaca,150,45,8,7,17.0,240,22,0,0,arterial,3,comercial,1,0,2
2026-01-01 11:45:00,Boyaca,145,44,7,6,18.0,225,20,0,0,arterial,3,comercial,1,0,2
2026-01-01 12:00:00,Boyaca,135,40,6,5,20.0,200,17,0,0,arterial,3,comercial,1,0,2
